Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","Q_PMOS reverse guard (DMP3098L-7: Vgs +/-20V, 2S-safe)","SOT-23",92.500000,-48.000000,0.000000,top
"Q2","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",30.950000,-16.270000,90.000000,top
"Q3","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",69.050000,-16.270000,90.000000,top
"Q4","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",11.602000,-23.298000,45.000000,top
"Q5","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",86.602000,-21.502000,-45.000000,top
"Q6","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",15.000000,-37.870000,90.000000,top
"Q7","PT334-6B (5mm filtered PT; LONG LEAD = EMITTER; SFH309 base symbol so ERC checks pins)","LED_D5.0mm_IRBlack",85.000000,-35.330000,-90.000000,top
"Q16","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",40.000000,-37.500000,0.000000,top
"Q17","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",50.000000,-37.500000,0.000000,top
"Q18","BSS138 (real part; Q_NMOS_GSD base symbol used so ERC checks pins)","SOT-23",40.000000,-42.000000,0.000000,top
"Q34","MMBT2222A (buzzer low-side driver; Q_NPN_BEC base symbol so ERC checks pins)","SOT-23",72.000000,-70.000000,180.000000,top
"Q35","Q_PMOS motor-power switch (DMP3098L-7, same part as Q1)","SOT-23",6.000000,-48.000000,0.000000,top
"R1","100k","R_0805_2012Metric",96.000000,-44.000000,0.000000,top
"R2","100k","R_0805_2012Metric",16.000000,-63.000000,0.000000,top
"R3","39k","R_0805_2012Metric",20.000000,-63.000000,0.000000,top
"R6","10k","R_0805_2012Metric",21.000000,-50.000000,0.000000,top
"R7","10k","R_0805_2012Metric",25.000000,-50.000000,0.000000,top
"R8","10k","R_0805_2012Metric",40.000000,-47.000000,0.000000,top
"R9","10k","R_0805_2012Metric",44.000000,-47.000000,0.000000,top
"R10","10k","R_0805_2012Metric",76.000000,-104.000000,0.000000,top
"R11","10k","R_0805_2012Metric",34.000000,-60.000000,0.000000,top
"R12","5.1k","R_0805_2012Metric",67.000000,-109.000000,0.000000,top
"R13","47k","R_0805_2012Metric",30.000000,-23.000000,0.000000,top
"R14","33","R_0805_2012Metric",34.000000,-23.000000,0.000000,top
"R15","47k","R_0805_2012Metric",70.000000,-23.000000,0.000000,top
"R16","33","R_0805_2012Metric",66.000000,-23.000000,0.000000,top
"R17","47k","R_0805_2012Metric",26.000000,-30.000000,0.000000,top
"R18","33","R_0805_2012Metric",30.000000,-30.000000,0.000000,top
"R19","47k","R_0805_2012Metric",74.000000,-30.000000,0.000000,top
"R20","33","R_0805_2012Metric",70.000000,-30.000000,0.000000,top
"R21","47k","R_0805_2012Metric",22.000000,-39.000000,0.000000,top
"R22","33","R_0805_2012Metric",22.000000,-42.000000,0.000000,top
"R23","47k","R_0805_2012Metric",78.000000,-39.000000,0.000000,top
"R24","33","R_0805_2012Metric",78.000000,-42.000000,0.000000,top
"R55","10k","R_0805_2012Metric",58.000000,-74.000000,0.000000,top
"R56","5.1k","R_0805_2012Metric",63.000000,-109.000000,0.000000,top
"R57","1k","R_0805_2012Metric",47.500000,-84.000000,90.000000,top
"R58","1k","R_0805_2012Metric",52.500000,-84.000000,90.000000,top
"R62","100k","R_0805_2012Metric",44.000000,-37.500000,0.000000,top
"R63","100k","R_0805_2012Metric",54.000000,-37.500000,0.000000,top
"R64","100k","R_0805_2012Metric",44.000000,-42.000000,0.000000,top
"R65","10k","R_0805_2012Metric",44.000000,-52.000000,0.000000,top
"R67","10k","R_0805_2012Metric",16.000000,-100.000000,0.000000,top
"R68","15k","R_0805_2012Metric",20.000000,-100.000000,0.000000,top
"R69","100k","R_0805_2012Metric",68.000000,-44.000000,0.000000,top
"R79","4.7k","R_0805_2012Metric",56.000000,-61.000000,0.000000,top
"R80","4.7k","R_0805_2012Metric",56.000000,-64.000000,0.000000,top
"R81","220","R_0805_2012Metric",64.000000,-65.200000,-90.000000,top
"R82","1k","R_0805_2012Metric",26.000000,-106.000000,0.000000,top
"R83","1k","R_0805_2012Metric",38.000000,-106.000000,0.000000,top
"R84","1k","R_0805_2012Metric",32.000000,-106.000000,0.000000,top
"R85","100k","R_0805_2012Metric",9.500000,-44.000000,0.000000,top
"SW1","BTN_A (start / BOOT)","SW_Push_1P1T_NO_CK_KMR2",40.000000,-28.000000,0.000000,top
"SW2","BTN_B","SW_Push_1P1T_NO_CK_KMR2",50.000000,-28.000000,0.000000,top
"SW4","RESET","SW_Push_1P1T_NO_CK_KMR2",64.000000,-102.000000,0.000000,top
"SW5","PWR ALL (PCM12SMTR slide; slide-to-GND = OFF)","SW_SPDT_PCM12",6.000000,-116.400000,0.000000,top
"SW6","PWR MOTORS (PCM12SMTR slide; slide-to-GND = motors ON)","SW_SPDT_PCM12",15.500000,-116.400000,0.000000,top
"U1","AP63203WU-7 (fixed 3.3V 2A buck; AP63200WU base symbol so ERC checks pins)","TSOT-23-6",61.000000,-54.000000,0.000000,top
"U2","TB6612FNG","SSOP-24_5.3x8.2mm_P0.65mm",50.000000,-72.000000,0.000000,top
"U3","ESP32-S3-WROOM-1-N8R2 (quad PSRAM: IO35-37 usable; octal -R8 would lose them)","ESP32-S3-WROOM-1",50.000000,-106.700000,180.000000,top
"U8","BMI160 (6-axis accel+gyro; 3.3V native; I2C 0x68)","Bosch_LGA-14_3x2.5mm_P0.5mm",50.000000,-59.000000,0.000000,top
